RefSeq_accession_number,gene_symbol,gene_name,AO-A12D.01TCGA,C8-A131.01TCGA,AO-A12B.01TCGA,BH-A18Q.02TCGA,C8-A130.02TCGA,C8-A138.03TCGA,E2-A154.03TCGA,C8-A12L.04TCGA,A2-A0EX.04TCGA,AO-A12D.05TCGA,AN-A04A.05TCGA,BH-A0AV.05TCGA,C8-A12T.06TCGA,A8-A06Z.07TCGA,A2-A0CM.07TCGA,BH-A18U.08TCGA,A2-A0EQ.08TCGA,AR-A0U4.09TCGA,AO-A0J9.10TCGA,AR-A1AP.11TCGA,AN-A0FK.11TCGA,AO-A0J6.11TCGA,A7-A13F.12TCGA,BH-A0E1.12TCGA,A7-A0CE.13TCGA,A2-A0YC.13TCGA,AO-A0JC.14TCGA,A8-A08Z.14TCGA,AR-A0TX.14TCGA,A8-A076.15TCGA,AO-A126.15TCGA,BH-A0C1.16TCGA,A2-A0EY.16TCGA,AR-A1AW.17TCGA,AR-A1AV.17TCGA,C8-A135.17TCGA,A2-A0EV.18TCGA,AN-A0AM.18TCGA,D8-A142.18TCGA,AN-A0FL.19TCGA,BH-A0DG.19TCGA,AR-A0TV.20TCGA,C8-A12Z.20TCGA,AO-A0JJ.20TCGA,AO-A0JE.21TCGA,AN-A0AJ.21TCGA,A7-A0CJ.22TCGA,AO-A12F.22TCGA,A8-A079.23TCGA,A2-A0T3.24TCGA,A2-A0YD.24TCGA,AR-A0TR.25TCGA,AO-A03O.25TCGA,AO-A12E.26TCGA,A8-A06N.26TCGA,A2-A0YG.27TCGA,BH-A18N.27TCGA,AN-A0AL.28TCGA,A2-A0T6.29TCGA,E2-A158.29TCGA,E2-A15A.29TCGA,AO-A0JM.30TCGA,C8-A12V.30TCGA,A2-A0D2.31TCGA,C8-A12U.31TCGA,AR-A1AS.31TCGA,A8-A09G.32TCGA,C8-A131.32TCGA,C8-A134.32TCGA,A2-A0YF.33TCGA,BH-A0DD.33TCGA,BH-A0E9.33TCGA,AR-A0TT.34TCGA,AO-A12B.34TCGA,A2-A0SW.35TCGA,AO-A0JL.35TCGA,BH-A0BV.35TCGA,A2-A0YM.36TCGA,BH-A0C7.36TCGA,A2-A0SX.36TCGA,263d3f-I.CPTAC,blcdb9-I.CPTAC,c4155b-C.CPTAC
NP_958782,PLEC,plectin isoform 1,1.096131182,2.609942977,-0.659828047,0.195340653,-0.494059581,2.765080659,0.862659263,1.407570262,1.185108231,1.100688066,0.384587729,0.350535663,-0.204917912,-0.496409093,0.683403537,-0.265030351,-0.912670278,-0.033221329,0.02000705,0.461087521,0.973564168,0.831131746,1.279184725,0.762044407,-1.123173085,0.818824062,-0.307266841,0.56889458,-0.583428637,1.873981833,0.195876687,-0.518366498,1.174880993,0.578308676,-0.759823056,1.120501833,0.452985925,1.501966964,0.538595778,2.455137931,-0.205637484,-1.514278334,-0.787194984,0.757188126,0.55977697,-0.42818149,-1.001239843,-1.947792427,1.04895925,0.583713254,0.063778527,-1.10167521,1.05322494,0.264859107,0.23854713,-0.078201822,1.101260533,0.323662708,0.793975555,-1.08652907,2.1801233,1.39524718,0.673904701,0.107490904,-0.481550154,1.222507296,-1.52334349,2.707250153,0.140181795,0.311319194,-0.692315765,1.466665164,-0.511421193,-0.963903926,-0.487772474,-0.106679982,-0.065838424,0.655849679,-0.552211965,-0.398559835,0.598584509,-0.191284527,0.566975294
NP_958785,NA,plectin isoform 1g,1.111370375,2.650421787,-0.648742151,0.215412944,-0.503899187,2.779709215,0.870186035,1.407570262,1.192611952,1.100688066,0.371392832,0.367405326,-0.162418489,-0.498508898,0.694424088,-0.251642291,-0.927978656,-0.030216424,0.011955318,0.461087521,0.97747606,0.856539831,1.275167128,0.762044407,-1.123173085,0.814877249,-0.307266841,0.56889458,-0.572548866,1.870383096,0.195876687,-0.510001999,1.183208792,0.582212852,-0.759823056,1.137617791,0.472590131,1.510348384,0.542210518,2.480136657,-0.205637484,-1.528285429,-0.755940561,0.780870661,0.563406875,-0.406378045,-1.004619822,-1.952717659,1.05225694,0.580623133,0.093336368,-1.108782577,1.055948153,0.275711307,0.249818154,-0.068058137,1.101260533,0.326972641,0.818181507,-1.095492377,2.1801233,1.408922131,0.68871756,0.10416449,-0.477889835,1.218973595,-1.512646224,2.73383192,0.126053757,0.29617712,-0.659468664,1.482283458,-0.526066681,-0.938209532,-0.487772474,-0.106679982,-0.055892667,0.65814259,-0.547749365,-0.392601414,0.606697458,-0.18391768,0.578701705
NP_958786,PLEC,plectin isoform 1a,1.111370375,2.650421787,-0.654285099,0.215412944,-0.500619319,2.779709215,0.870186035,1.410311827,1.188860091,1.100688066,0.371392832,0.367405326,-0.166668431,-0.496409093,0.698097605,-0.251642291,-0.927978656,-0.02721152,0.011955318,0.461087521,0.97747606,0.856539831,1.275167128,0.766384351,-1.116860512,0.814877249,-0.307266841,0.56889458,-0.567108981,1.870383096,0.195876687,-0.507213833,1.183208792,0.578308676,-0.749113689,1.137617791,0.472590131,1.501966964,0.542210518,2.480136657,-0.205637484,-1.528285429,-0.755940561,0.774104222,0.55977697,-0.406378045,-1.004619822,-1.955180275,1.05225694,0.580623133,0.084469016,-1.108782577,1.055948153,0.275711307,0.244182642,-0.071439365,1.097766685,0.326972641,0.814723513,-1.095492377,2.1801233,1.412340868,0.68871756,0.107490904,-0.481550154,1.222507296,-1.509971908,2.737629316,0.133117776,0.29617712,-0.664161107,1.474474311,-0.526066681,-0.943919398,-0.487772474,-0.106679982,-0.065838424,0.655849679,-0.552211965,-0.392601414,0.603993142,-0.186022494,0.576747303
NP_000436,NA,plectin isoform 1c,1.107560577,2.646373906,-0.632113308,0.205376799,-0.510458925,2.797994911,0.866422649,1.407570262,1.185108231,1.100688066,0.37799028,0.360657461,-0.1836682,-0.492209483,0.687077054,-0.251642291,-0.93180575,-0.030216424,0.003903587,0.461087521,0.969652277,0.836777987,1.279184725,0.757704463,-1.129485657,0.799089996,-0.307266841,0.56889458,-0.583428637,1.859586885,0.218934622,-0.518366498,1.174880993,0.590021204,-0.735726982,1.137617791,0.458587127,1.501966964,0.534981038,2.461955765,-0.215006194,-1.531086848,-0.774693215,0.763954564,0.541627447,-0.406378045,-0.997859864,-1.947792427,1.058852321,0.586803375,0.066734311,-1.096936966,1.058671367,0.278424357,0.249818154,-0.057914451,1.090778991,0.330282575,0.800891541,-1.095492377,2.1801233,1.408922131,0.677607916,0.097511661,-0.470569197,1.204838793,-1.517994857,2.73383192,0.111925718,0.29617712,-0.657122443,1.458856017,-0.533389425,-0.9353546,-0.487772474,-0.106679982,-0.055892667,0.655849679,-0.552211965,-0.392601414,0.603993142,-0.186022494,0.576747303
NP_958781,NA,plectin isoform 1e,1.115180173,2.646373906,-0.64042773,0.215412944,-0.503899187,2.787023494,0.870186035,1.413053392,1.200115674,1.093358353,0.374691556,0.370779259,-0.166668431,-0.488009874,0.687077054,-0.251642291,-0.927978656,-0.030216424,0.011955318,0.461087521,0.985299842,0.865009193,1.279184725,0.766384351,-1.129485657,0.818824062,-0.301032745,0.56889458,-0.572548866,1.870383096,0.199719676,-0.512790166,1.179044893,0.586117028,-0.749113689,1.120501833,0.472590131,1.501966964,0.542210518,2.477864046,-0.205637484,-1.514278334,-0.771567772,0.770721003,0.55977697,-0.406378045,-1.001239843,-1.95764289,1.05225694,0.586803375,0.084469016,-1.1111517,1.058671367,0.278424357,0.249818154,-0.064676908,1.108248227,0.326972641,0.818181507,-1.095492377,2.1801233,1.408922131,0.68871756,0.10416449,-0.481550154,1.222507296,-1.509971908,2.752818897,0.126053757,0.29617712,-0.661814886,1.474474311,-0.529728053,-0.9353546,-0.503853222,-0.106679982,-0.062523172,0.651263857,-0.556674565,-0.395580625,0.603993142,-0.167079173,0.576747303
NP_958780,PLEC,plectin isoform 1f,1.107560577,2.646373906,-0.654285099,0.215412944,-0.503899187,2.779709215,0.870186035,1.407570262,1.188860091,1.09702321,0.37799028,0.367405326,-0.166668431,-0.496409093,0.698097605,-0.251642291,-0.927978656,-0.030216424,0.011955318,0.461087521,0.97747606,0.856539831,1.279184725,0.762044407,-1.120016798,0.814877249,-0.307266841,0.56889458,-0.577988752,1.870383096,0.199719676,-0.507213833,1.183208792,0.578308676,-0.743759006,1.127348216,0.472590131,1.510348384,0.542210518,2.471046211,-0.210321839,-1.52548401,-0.771567772,0.777487441,0.55977697,-0.406378045,-1.001239843,-1.955180275,1.05225694,0.586803375,0.093336368,-1.106413455,1.055948153,0.272998257,0.249818154,-0.068058137,1.101260533,0.326972641,0.81126552,-1.09325155,2.1801233,1.412340868,0.68871756,0.10416449,-0.485210473,1.218973595,-1.512646224,2.737629316,0.126053757,0.29617712,-0.661814886,1.474474311,-0.529728053,-0.938209532,-0.487772474,-0.106679982,-0.055892667,0.65814259,-0.547749365,-0.392601414,0.606697458,-0.18391768,0.578701705
NP_958783,PLEC,plectin isoform 1d,1.111370375,2.650421787,-0.648742151,0.215412944,-0.500619319,2.783366355,0.870186035,1.410311827,1.188860091,1.09702321,0.374691556,0.360657461,-0.166668431,-0.496409093,0.698097605,-0.251642291,-0.927978656,-0.030216424,0.011955318,0.461087521,0.97747606,0.85089359,1.279184725,0.762044407,-1.123173085,0.814877249,-0.307266841,0.56889458,-0.577988752,1.870383096,0.199719676,-0.510001999,1.183208792,0.582212852,-0.754468373,1.137617791,0.472590131,1.506157674,0.542210518,2.480136657,-0.205637484,-1.52548401,-0.771567772,0.777487441,0.55977697,-0.406378045,-1.001239843,-1.955180275,1.05225694,0.586803375,0.084469016,-1.108782577,1.058671367,0.275711307,0.244182642,-0.071439365,1.101260533,0.326972641,0.81126552,-1.09325155,2.1801233,1.412340868,0.68871756,0.10416449,-0.481550154,1.222507296,-1.515320541,2.737629316,0.115457728,0.29617712,-0.664161107,1.474474311,-0.529728053,-0.943919398,-0.487772474,-0.106679982,-0.062523172,0.655849679,-0.552211965,-0.392601414,0.603993142,-0.186022494,0.576747303
NP_958784,NA,plectin isoform 1b,1.111370375,2.650421787,-0.648742151,0.215412944,-0.500619319,2.783366355,0.870186035,1.413053392,1.192611952,1.09702321,0.374691556,0.360657461,-0.166668431,-0.496409093,0.698097605,-0.251642291,-0.927978656,-0.030216424,0.011955318,0.461087521,0.97747606,0.85089359,1.279184725,0.762044407,-1.123173085,0.814877249,-0.307266841,0.56889458,-0.577988752,1.870383096,0.199719676,-0.510001999,1.183208792,0.582212852,-0.754468373,1.137617791,0.472590131,1.506157674,0.542210518,2.480136657,-0.205637484,-1.52548401,-0.771567772,0.777487441,0.55977697,-0.406378045,-1.001239843,-1.955180275,1.05225694,0.586803375,0.084469016,-1.108782577,1.058671367,0.275711307,0.244182642,-0.071439365,1.101260533,0.326972641,0.81126552,-1.09325155,2.1801233,1.412340868,0.68871756,0.10416449,-0.481550154,1.222507296,-1.515320541,2.737629316,0.115457728,0.29617712,-0.664161107,1.474474311,-0.529728053,-0.943919398,-0.487772474,-0.106679982,-0.062523172,0.655849679,-0.552211965,-0.392601414,0.603993142,-0.186022494,0.576747303
NP_112598,NA,epiplakin,-1.517390359,3.909312755,-0.618255939,-1.035759872,-1.845365554,2.205538366,1.920170648,3.195070488,1.046289383,-2.413909374,-0.242169869,-1.650206386,2.425796388,-1.300634341,-2.652150067,-1.613877425,-3.071151471,-2.551331119,0.225326195,2.318731725,-1.811702422,-0.967196074,3.026839582,-0.583338181,2.244584354,-1.537423401,-1.460574599,3.263024321,0.730303716,1.539299286,-2.624877344,-2.43941306,4.955701511,-1.6275508,-0.700921541,0.589907135,-0.742870654,2.151527016,-0.1482049,3.959606744,-1.151877145,-3.147505566,2.363250927,-2.494085562,-1.698023696,2.258487365,-1.379797505,-1.004610594,0.679617968,0.05221245,-0.23771146,-1.324372713,-0.33289089,-0.001019793,-1.860681139,0.351214199,-3.444234673,1.932290343,1.381834372,0.096627356,1.911710702,1.00892983,-2.733052927,-0.880454146,-2.802192305,-0.473668945,-2.194596901,4.089502075,-0.72516056,-3.254639306,0.234441727,-0.35286607,-4.952665524,-1.252252127,-1.626289437,0.025188599,-2.187599782,-1.969533682,0.679465615,-2.504861658,-0.60213191,-0.340726282,-0.205013429
NP_001611,AHNAK,neuroblast differentiation-associated protein AHNAK isoform 1,0.482753678,-1.045293501,1.222002715,-0.517225683,-0.405503121,0.749996978,2.34919662,-0.007077155,2.138080861,0.543629869,0.051416585,0.401144652,0.470822918,1.349319349,-0.984373265,-0.64659007,-2.278942948,-2.100595477,0.325972835,-0.283625077,3.262020566,2.838370489,0.961794533,2.185545984,-2.575064764,1.051686039,1.170213908,0.887747701,1.638764597,1.377356118,0.653192395,-2.174537264,0.825113456,-1.69782597,0.726101526,2.257001446,1.811277356,1.552255484,0.267490247,-1.858278696,0.272166701,-1.738391848,0.025420032,1.927781982,1.754015586,0.972084153,0.563690494,-2.551133287,3.436486828,1.501479177,1.305207881,1.075548247,-1.250613945,0.131919657,-0.229200377,-0.28783799,2.103994679,-1.91054234,1.565108003,-1.149272214,0.896216374,1.802076956,-2.133132127,-1.512472865,-0.997655112,1.741961269,0.134732665,-1.120524403,-2.360481012,2.351713708,0.980540164,2.81374301,-0.526066681,1.325752082,0.731148229,-1.177327273,0.709930573,1.307036469,0.487573818,0.694810418,2.778263413,1.367329831,3.215189773
